module_path,leaf_name,component,layer_index,in_features,out_features,bias,n_params,requires_grad
thinker.model.layers.22.self_attn.q_proj,q_proj,TEXT_DECODER,22,1024,2048,False,2097152,True
thinker.model.layers.22.self_attn.k_proj,k_proj,TEXT_DECODER,22,1024,1024,False,1048576,True
thinker.model.layers.22.self_attn.v_proj,v_proj,TEXT_DECODER,22,1024,1024,False,1048576,True
thinker.model.layers.22.self_attn.o_proj,o_proj,TEXT_DECODER,22,2048,1024,False,2097152,True
thinker.model.layers.22.mlp.gate_proj,gate_proj,TEXT_DECODER,22,1024,3072,False,3145728,True
thinker.model.layers.22.mlp.up_proj,up_proj,TEXT_DECODER,22,1024,3072,False,3145728,True
thinker.model.layers.22.mlp.down_proj,down_proj,TEXT_DECODER,22,3072,1024,False,3145728,True
thinker.model.layers.23.self_attn.q_proj,q_proj,TEXT_DECODER,23,1024,2048,False,2097152,True
thinker.model.layers.23.self_attn.k_proj,k_proj,TEXT_DECODER,23,1024,1024,False,1048576,True
thinker.model.layers.23.self_attn.v_proj,v_proj,TEXT_DECODER,23,1024,1024,False,1048576,True
thinker.model.layers.23.self_attn.o_proj,o_proj,TEXT_DECODER,23,2048,1024,False,2097152,True
thinker.model.layers.23.mlp.gate_proj,gate_proj,TEXT_DECODER,23,1024,3072,False,3145728,True
thinker.model.layers.23.mlp.up_proj,up_proj,TEXT_DECODER,23,1024,3072,False,3145728,True
thinker.model.layers.23.mlp.down_proj,down_proj,TEXT_DECODER,23,3072,1024,False,3145728,True
thinker.model.layers.24.self_attn.q_proj,q_proj,TEXT_DECODER,24,1024,2048,False,2097152,True
thinker.model.layers.24.self_attn.k_proj,k_proj,TEXT_DECODER,24,1024,1024,False,1048576,True
thinker.model.layers.24.self_attn.v_proj,v_proj,TEXT_DECODER,24,1024,1024,False,1048576,True
thinker.model.layers.24.self_attn.o_proj,o_proj,TEXT_DECODER,24,2048,1024,False,2097152,True
thinker.model.layers.24.mlp.gate_proj,gate_proj,TEXT_DECODER,24,1024,3072,False,3145728,True
thinker.model.layers.24.mlp.up_proj,up_proj,TEXT_DECODER,24,1024,3072,False,3145728,True
thinker.model.layers.24.mlp.down_proj,down_proj,TEXT_DECODER,24,3072,1024,False,3145728,True
thinker.model.layers.25.self_attn.q_proj,q_proj,TEXT_DECODER,25,1024,2048,False,2097152,True
thinker.model.layers.25.self_attn.k_proj,k_proj,TEXT_DECODER,25,1024,1024,False,1048576,True
thinker.model.layers.25.self_attn.v_proj,v_proj,TEXT_DECODER,25,1024,1024,False,1048576,True
thinker.model.layers.25.self_attn.o_proj,o_proj,TEXT_DECODER,25,2048,1024,False,2097152,True
thinker.model.layers.25.mlp.gate_proj,gate_proj,TEXT_DECODER,25,1024,3072,False,3145728,True
thinker.model.layers.25.mlp.up_proj,up_proj,TEXT_DECODER,25,1024,3072,False,3145728,True
thinker.model.layers.25.mlp.down_proj,down_proj,TEXT_DECODER,25,3072,1024,False,3145728,True
thinker.model.layers.26.self_attn.q_proj,q_proj,TEXT_DECODER,26,1024,2048,False,2097152,True
thinker.model.layers.26.self_attn.k_proj,k_proj,TEXT_DECODER,26,1024,1024,False,1048576,True
thinker.model.layers.26.self_attn.v_proj,v_proj,TEXT_DECODER,26,1024,1024,False,1048576,True
thinker.model.layers.26.self_attn.o_proj,o_proj,TEXT_DECODER,26,2048,1024,False,2097152,True
thinker.model.layers.26.mlp.gate_proj,gate_proj,TEXT_DECODER,26,1024,3072,False,3145728,True
thinker.model.layers.26.mlp.up_proj,up_proj,TEXT_DECODER,26,1024,3072,False,3145728,True
thinker.model.layers.26.mlp.down_proj,down_proj,TEXT_DECODER,26,3072,1024,False,3145728,True
thinker.model.layers.27.self_attn.q_proj,q_proj,TEXT_DECODER,27,1024,2048,False,2097152,True
thinker.model.layers.27.self_attn.k_proj,k_proj,TEXT_DECODER,27,1024,1024,False,1048576,True
thinker.model.layers.27.self_attn.v_proj,v_proj,TEXT_DECODER,27,1024,1024,False,1048576,True
thinker.model.layers.27.self_attn.o_proj,o_proj,TEXT_DECODER,27,2048,1024,False,2097152,True
thinker.model.layers.27.mlp.gate_proj,gate_proj,TEXT_DECODER,27,1024,3072,False,3145728,True
thinker.model.layers.27.mlp.up_proj,up_proj,TEXT_DECODER,27,1024,3072,False,3145728,True
thinker.model.layers.27.mlp.down_proj,down_proj,TEXT_DECODER,27,3072,1024,False,3145728,True
thinker.lm_head,lm_head,TEXT_DECODER,,1024,151936,False,155582464,True
